episode,total_reward,success_rate,avg_util,avg_imbalance,avg_response_time,constraint_violations,projections,deployed_pods,avg_available_nodes,min_available_nodes,safety_compliance_rate,minikube_avg_cpu,minikube-m02_avg_cpu,minikube-m03_avg_cpu,minikube-m04_avg_cpu,minikube_avg_mem,minikube-m02_avg_mem,minikube-m03_avg_mem,minikube-m04_avg_mem,epsilon
1,0,0,0,0,0,0,0,9,4,4,100.0,16.454545454545453,7.363636363636364,3.181818181818183,10.909090909090908,21.545454545454547,14.454545454545453,10.81818181818182,41.54545454545455,0.9985008997300406
2,37.65865323172845,81.81818181818183,9.477272727272727,5.556232527814753,4573.226084182269,0,0,14,4.0,4,100.0,14.333333333333334,9.833333333333332,3.5000000000000004,15.833333333333332,19.666666666666668,33.833333333333336,5.833333333333333,48.333333333333336,0.9925269380023368
3,20.535653778276867,83.33333333333334,10.875,5.379273723207037,8841.948324499754,0,0,28,4.0,4,100.0,19.944444444444446,8.000000000000002,6.111111111111112,9.166666666666666,44.00000000000001,30.66666666666667,13.055555555555557,20.833333333333336,0.9865887180738979
4,56.818273139368735,77.77777777777779,10.805555555555555,6.08871668672032,4984.444276333306,0,0,39,4.0,4,100.0,16.923076923076923,8.846153846153843,5.230769230769232,7.769230769230771,28.538461538461533,19.538461538461544,17.000000000000004,26.384615384615394,0.9806860261040145
5,47.99878740462662,84.61538461538461,9.69230769230769,5.458387517285445,8052.0002366157805,0,0,50,4.0,4,92.85714285714286,31.428571428571423,15.357142857142856,9.35714285714286,3.785714285714286,70.28571428571429,45.14285714285713,33.00000000000001,11.285714285714286,0.9748186495313712
6,50.739448513550926,78.57142857142857,14.982142857142858,10.657208575527902,4350.909077499767,1,1,55,4.0,4,100.0,16.625,4.625,5.500000000000001,3.25,21.750000000000004,15.250000000000002,21.250000000000004,6.75,0.9689863770663922
7,20.536007085897616,62.5,7.500000000000001,5.669315124127721,6906.161748374416,0,0,71,4.0,4,100.0,12.105263157894736,6.947368421052633,5.684210526315789,6.8421052631578965,16.47368421052631,21.789473684210527,17.894736842105267,20.52631578947369,0.9631889986836326
8,57.25406418978675,84.21052631578947,7.894736842105263,3.3819234367825404,11328.41417594701,0,0,86,4.0,4,100.0,16.944444444444443,8.166666666666668,8.555555555555555,6.4444444444444455,30.055555555555564,21.333333333333336,27.333333333333332,14.38888888888889,0.957426305614215
9,53.34741041631631,83.33333333333334,10.027777777777779,5.305708523238685,7069.798376444345,0,0,102,4.0,4,100.0,17.052631578947373,6.2631578947368425,7.7368421052631575,6.578947368421052,26.36842105263158,18.63157894736843,23.36842105263158,15.684210526315786,0.9516980903383123
10,66.94122816172276,84.21052631578947,9.407894736842106,5.502025038141587,7030.679965684325,0,0,115,4.0,4,94.73684210526316,22.842105263157894,4.578947368421053,16.421052631578945,3.3684210526315796,50.26315789473684,14.894736842105264,43.736842105263165,7.157894736842108,0.9460041465776737
11,59.4051711282077,68.42105263157895,11.802631578947368,9.847329866651883,4785.1676951582995,1,1,129,4.0,4,94.11764705882354,27.823529411764707,2.2352941176470584,7.823529411764706,6.294117647058823,57.76470588235294,3.882352941176471,23.52941176470588,10.647058823529413,0.9403442692881969
12,62.360408626659435,82.35294117647058,11.044117647058824,9.991760687741607,6925.464730588026,1,1,142,4.0,4,100.0,20.52941176470588,6.058823529411765,8.705882352941176,4.941176470588235,37.29411764705882,11.76470588235294,25.176470588235293,17.764705882352942,0.9347182546525445
13,46.81345801275492,76.47058823529412,10.058823529411766,6.506958925258403,4448.998030000118,0,0,153,4.0,4,100.0,19.333333333333336,13.999999999999998,5.5,6.500000000000002,31.5,38.58333333333333,17.333333333333336,25.750000000000007,0.9291259000728042
14,48.20592909890993,91.66666666666666,11.333333333333332,6.098787431015296,7259.723291749954,0,0,166,4.0,4,100.0,16.46666666666667,10.666666666666668,13.4,7.866666666666668,27.266666666666662,29.933333333333323,37.06666666666666,23.199999999999996,0.923567004163192
15,58.956673500302365,86.66666666666667,12.100000000000003,4.432160759946203,8637.251282666693,0,0,183,4.0,4,100.0,17.8,8.4,10.65,2.9000000000000004,36.70000000000001,16.050000000000004,38.800000000000004,3.95,0.9180413667428027
16,66.13734100162657,85.0,9.937500000000002,6.151166418894317,6984.018637199733,0,0,195,4.0,4,100.0,15.588235294117647,14.176470588235295,6.705882352941176,2.5294117647058827,22.88235294117647,29.05882352941176,14.352941176470585,6.294117647058823,0.912548788828398
17,51.46749216853592,70.58823529411765,9.750000000000002,6.187868938635644,3777.434311352836,0,0,210,4.0,4,100.0,23.166666666666664,6.833333333333333,8.222222222222223,11.222222222222221,47.33333333333335,12.555555555555554,32.55555555555556,36.83333333333334,0.9070890726272437
18,67.07629964023138,83.33333333333334,12.36111111111111,7.462243437572175,6003.683420500036,0,0,225,4.0,4,100.0,18.789473684210527,4.63157894736842,10.73684210526316,11.42105263157895,22.157894736842103,9.526315789473685,33.73684210526316,30.894736842105264,0.9016620215299852
19,55.65101527776244,78.94736842105263,11.394736842105264,5.600042489527142,5053.829328263467,0,0,240,4.0,4,100.0,16.222222222222218,7.000000000000001,7.5555555555555545,7.777777777777778,20.88888888888889,12.166666666666668,25.333333333333336,15.22222222222222,0.8962674401035682
20,65.19456875229976,83.33333333333334,9.63888888888889,4.786555011666324,5360.376350277268,0,0,241,4.0,4,100.0,19.5,7.000000000000001,17.75,7.000000000000001,41.5,11.0,62.74999999999999,15.75,0.8909051340842012
21,3.611005952474687,25.0,12.812499999999998,5.944965217701878,1599.4477029989866,0,0,250,4.0,4,100.0,16.307692307692314,5.461538461538462,11.384615384615387,10.153846153846157,29.846153846153843,10.769230769230768,33.92307692307692,27.0,0.8855749103703591
22,38.697439217270606,69.23076923076923,10.826923076923077,4.8446110697679785,6548.624732692238,0,0,263,4.0,4,100.0,18.333333333333332,3.5333333333333337,10.66666666666667,5.333333333333334,23.600000000000005,4.6,22.53333333333333,11.266666666666666,0.8802765770158295
23,56.06449335694964,86.66666666666667,9.466666666666669,5.991878928608038,3634.816161000587,0,0,276,4.0,4,100.0,17.000000000000004,5.055555555555556,7.944444444444445,13.333333333333334,28.16666666666666,7.722222222222223,17.333333333333336,34.555555555555564,0.875009943222802
24,55.74577403677247,72.22222222222221,10.833333333333334,5.682637159038875,7117.855852499916,0,0,283,4.0,4,100.0,18.999999999999996,8.545454545454545,7.636363636363637,6.454545454545456,39.0,15.909090909090907,17.18181818181818,25.54545454545455,0.8697748193349952
25,29.583456975040615,63.63636363636363,10.40909090909091,5.527733491609976,5207.038100817788,0,0,290,4.0,4,100.0,16.28571428571429,17.857142857142858,8.142857142857144,7.000000000000001,25.999999999999996,49.14285714285714,25.285714285714285,28.000000000000004,0.8645710168308287
26,27.0779593144308,100.0,12.321428571428573,5.343050883662864,4255.947351570545,0,0,298,4.0,4,100.0,17.2,10.200000000000001,4.2,4.800000000000001,31.8,24.499999999999996,13.200000000000001,12.6,0.8593983483166334
27,35.50577570589763,80.0,9.100000000000001,5.568336501588219,7001.316974300789,0,0,310,4.0,4,100.0,22.78571428571429,3.428571428571429,6.785714285714284,7.214285714285714,42.28571428571429,6.214285714285715,18.85714285714286,26.785714285714285,0.8542566275199036
28,52.69010814751654,85.71428571428571,10.053571428571429,7.719295456057036,4924.692417000188,0,0,323,4.0,4,93.75,19.125,6.3125,13.687500000000002,8.125000000000002,31.3125,13.9375,49.18749999999999,33.06250000000001,0.849145669282589
29,58.29048825367261,81.25,11.8125,5.594214824351003,5326.444509562407,1,1,336,4.0,4,100.0,17.933333333333337,8.600000000000001,5.399999999999999,12.399999999999997,29.066666666666663,22.133333333333336,14.400000000000004,48.4,0.8440652895544274
30,57.24018432930971,86.66666666666667,11.083333333333336,5.336665513489406,4627.518732865671,0,0,342,4.0,4,100.0,22.571428571428573,13.0,10.571428571428571,1.8571428571428572,52.571428571428584,54.99999999999999,20.142857142857142,2.2857142857142856,0.8390153053863164
31,27.078546006100034,85.71428571428571,12.000000000000002,7.523050732103376,4165.116573857501,0,0,354,4.0,4,93.75,25.687500000000004,6.25,12.937499999999998,2.375,49.5,24.625000000000004,33.56249999999999,3.0000000000000004,0.8339955349237254
32,54.97641674743181,75.0,11.8125,9.274629852099514,4779.934183374735,1,1,365,4.0,4,100.0,21.75,10.583333333333336,11.916666666666666,2.2500000000000004,36.00000000000001,35.166666666666664,38.833333333333336,3.416666666666667,0.829005797400147
