episode,total_reward,success_rate,avg_util,avg_imbalance,avg_response_time,constraint_violations,projections,deployed_pods,avg_available_nodes,min_available_nodes,safety_compliance_rate,minikube_avg_cpu,minikube-m02_avg_cpu,minikube-m03_avg_cpu,minikube-m04_avg_cpu,minikube_avg_mem,minikube-m02_avg_mem,minikube-m03_avg_mem,minikube-m04_avg_mem,minikube_avg_rt,minikube-m02_avg_rt,minikube-m03_avg_rt,minikube-m04_avg_rt,epsilon
1,0,0,0,0,0,0,0,3,4,4,100.0,25.0,5.500000000000001,13.25,1.0,51.0,21.250000000000004,45.25,1.0,33.7954510008179,33.7954510008179,33.7954510008179,33.7954510008179,0.9992502249662525
2,12.212038661638196,75.0,11.1875,9.193603550993444,4832.633103500484,0,0,20,4.0,4,85.0,28.15,12.9,22.000000000000004,5.250000000000001,68.65,34.75,73.04999999999998,14.35,10.783000765727861,10.783000765727861,10.783000765727861,10.783000765727861,0.9962567422439002
3,72.13685841651656,85.0,17.075000000000003,9.039226049306588,3611.664630249652,3,3,30,4.0,4,88.23529411764706,24.647058823529413,8.705882352941178,20.352941176470587,8.117647058823529,56.94117647058823,24.47058823529412,60.47058823529412,24.882352941176467,42.71820369831403,42.71820369831403,42.71820369831403,42.71820369831403,0.9932722271840867
4,32.81057927223837,58.82352941176471,15.455882352941174,8.000347537983146,5511.628734000089,2,2,41,4.0,4,100.0,24.0,5.250000000000001,15.000000000000002,9.437500000000002,48.0,18.4375,50.625,21.75,9.987458089281889,9.987458089281889,9.987458089281889,9.987458089281889,0.990296652922126
5,51.65359117169776,68.75,13.421875,7.392673891484803,2948.8670873129195,0,0,54,4.0,4,88.88888888888889,29.72222222222222,12.611111111111112,16.333333333333332,13.166666666666668,58.55555555555556,43.83333333333333,54.49999999999999,29.55555555555555,10.161270152401322,10.161270152401322,10.161270152401322,10.161270152401322,0.9873299926738127
6,51.149916972829374,72.22222222222221,17.958333333333336,7.181569850130501,2997.779146222456,2,2,66,4.0,4,100.0,30.8,7.066666666666667,15.4,11.400000000000004,66.86666666666667,25.866666666666667,51.4,30.466666666666665,30.282751917184214,30.282751917184214,30.282751917184214,30.282751917184214,0.9843722197351786
7,49.678732557147484,80.0,16.166666666666668,9.43892577547188,5100.3444763327325,0,0,82,4.0,4,66.66666666666667,25.888888888888893,18.333333333333336,20.666666666666668,13.555555555555557,63.33333333333333,57.44444444444444,73.5,37.05555555555555,13.884121436149144,13.884121436149144,13.884121436149144,13.884121436149144,0.9814233074822538
8,59.28583783026412,88.88888888888889,19.61111111111111,5.142935599257012,4195.322943778188,6,6,93,4.0,4,80.0,28.133333333333333,10.600000000000001,19.53333333333333,14.266666666666666,66.66666666666666,35.13333333333333,71.46666666666667,46.800000000000004,15.718131909538483,15.718131909538483,15.718131909538483,15.718131909538483,0.9784832293708268
9,34.23610171971221,73.33333333333333,18.133333333333333,7.4671931042051,6898.819983199064,3,3,108,4.0,4,76.47058823529412,28.000000000000004,11.11764705882353,16.58823529411765,5.11764705882353,63.70588235294118,35.23529411764705,54.58823529411764,15.11764705882353,14.874296267225873,14.874296267225873,14.874296267225873,14.874296267225873,0.9755519589362048
10,60.878350053696366,88.23529411764706,15.205882352941178,8.773765958869234,6359.363819117254,4,4,123,4.0,4,100.0,27.125,13.062500000000002,16.1875,9.6875,57.25,35.875,51.5,24.687500000000004,12.827719999283241,12.827719999283241,12.827719999283241,12.827719999283241,0.9726294697929764
11,70.00263498007885,93.75,16.515625,7.08851444768502,7283.828322063073,0,0,134,4.0,4,100.0,30.277777777777775,5.722222222222222,15.611111111111114,4.88888888888889,64.61111111111111,11.555555555555557,49.499999999999986,7.888888888888888,23.10484072751768,23.10484072751768,23.10484072751768,23.10484072751768,0.9697157356347736
12,43.36291524542284,61.111111111111114,14.124999999999998,10.472280769843929,4807.007813998805,0,0,144,4.0,4,100.0,29.92307692307692,4.538461538461539,17.307692307692307,2.8461538461538467,63.38461538461539,7.846153846153846,62.46153846153846,4.076923076923077,10.256719099561451,10.256719099561451,10.256719099561451,10.256719099561451,0.9668107302340353
13,42.24205930969516,76.92307692307693,13.653846153846155,11.074977648796146,3666.3822353069777,0,0,155,4.0,4,94.44444444444444,29.22222222222222,10.166666666666666,17.166666666666668,7.777777777777778,69.88888888888887,21.444444444444446,55.77777777777777,15.777777777777779,10.178445727268064,10.178445727268064,10.178445727268064,10.178445727268064,0.9639144274417716
14,47.866121088961805,61.111111111111114,16.083333333333332,8.615880611717646,3576.114466278442,1,1,169,4.0,4,94.11764705882354,28.705882352941174,11.0,18.705882352941178,9.058823529411766,57.58823529411765,24.352941176470587,68.82352941176471,25.94117647058823,9.765197786431859,9.765197786431859,9.765197786431859,9.765197786431859,0.9610268011873262
15,56.35977032213901,82.35294117647058,16.867647058823533,8.086476735961446,5387.6588016458245,1,1,180,4.0,4,53.84615384615385,35.0,17.307692307692307,22.615384615384613,7.153846153846153,68.0,55.84615384615383,81.0,27.999999999999996,9.676449273353104,9.676449273353104,9.676449273353104,9.676449273353104,0.9581478254781449
