episode,total_reward,success_rate,avg_util,avg_imbalance,avg_response_time,constraint_violations,projections,deployed_pods,avg_available_nodes,min_available_nodes,safety_compliance_rate,minikube_avg_cpu,minikube-m02_avg_cpu,minikube-m03_avg_cpu,minikube-m04_avg_cpu,minikube_avg_mem,minikube-m02_avg_mem,minikube-m03_avg_mem,minikube-m04_avg_mem,minikube_avg_rt,minikube-m02_avg_rt,minikube-m03_avg_rt,minikube-m04_avg_rt,epsilon
1,0,0,0,0,0,0,0,12,4,4,85.71428571428572,17.57142857142857,1.6428571428571428,13.571428571428571,16.21428571428571,34.14285714285714,3.928571428571428,49.5,59.78571428571426,20.78706249934233,20.78706249934233,20.78706249934233,20.78706249934233,0.0
2,119.19999999999999,85.71428571428571,12.249999999999998,7.124932198585218,3093.8588344298687,2,2,25,4.0,4,88.23529411764706,22.82352941176471,14.823529411764705,11.411764705882355,12.11764705882353,56.41176470588236,59.88235294117645,35.23529411764705,48.23529411764705,14.490232074212354,14.490232074212354,14.490232074212354,14.490232074212354,0.0
3,128.4,76.47058823529412,15.294117647058822,5.625860656563946,6152.824330646956,2,2,25,4.0,4,100.0,0.0
4,0,0,0,0,0,0,0,32,4,4,77.77777777777777,21.111111111111114,16.11111111111111,15.88888888888889,11.333333333333334,48.55555555555556,37.33333333333333,57.77777777777777,43.333333333333336,14.097389289028277,14.097389289028277,14.097389289028277,14.097389289028277,0.0
5,69.2,77.77777777777779,16.11111111111111,4.260570296716201,3689.8146047767823,2,2,36,4.0,4,100.0,28.000000000000004,7.200000000000001,17.8,4.6,79.0,15.0,51.0,9.000000000000002,11.731652753951494,11.731652753951494,11.731652753951494,11.731652753951494,0.0
6,39.6,80.0,14.400000000000002,10.246454073086012,5960.199943601037,0,0,39,4.0,4,100.0,23.5,2.75,12.0,21.5,58.5,7.750000000000002,31.0,41.5,12.046612998043807,12.046612998043807,12.046612998043807,12.046612998043807,0.0
7,29.6,75.0,14.9375,8.752496371848768,3850.9519945037027,0,0,39,4.0,4,100.0,0.0
8,0,0,0,0,0,0,0,48,4,4,83.33333333333334,16.666666666666664,7.999999999999999,4.166666666666666,24.166666666666668,24.916666666666668,28.000000000000007,7.083333333333333,47.25,11.765923001803458,11.765923001803458,11.765923001803458,11.765923001803458,0.0
9,88.8,75.0,13.250000000000004,8.886508361286353,5516.853681250116,2,2,55,4.0,4,100.0,25.624999999999996,6.625,10.25,5.500000000000001,36.625,19.624999999999996,24.25,10.750000000000002,13.619933996648927,13.619933996648927,13.619933996648927,13.619933996648927,0.0
10,69.6,87.5,12.0,8.39211901087184,4997.689498874024,0,0,56,4.0,4,100.0,38.0,1.0,12.0,1.0,65.0,1.0,31.0,1.0,14.180066995322704,14.180066995322704,14.180066995322704,14.180066995322704,0.0
11,10.0,100.0,13.0,15.116216457830975,3347.4705270054983,0,0,67,4.0,4,91.66666666666667,21.333333333333336,0.9999999999999999,15.333333333333329,16.916666666666664,32.0,0.9999999999999999,42.66666666666667,42.99999999999999,49.98626118255991,49.98626118255991,49.98626118255991,49.98626118255991,0.0
12,109.6,91.66666666666666,13.645833333333336,9.078482477651185,6605.407824582168,1,1,83,4.0,4,61.11111111111111,20.666666666666668,5.555555555555555,16.388888888888886,3.7777777777777772,41.66666666666667,12.166666666666668,53.5,7.777777777777778,37.56546250133397,37.56546250133397,37.56546250133397,37.56546250133397,0.0
13,159.2,88.88888888888889,11.597222222222221,8.573337950896262,9609.517139448144,7,7,95,4.0,4,92.85714285714286,16.357142857142858,1.5714285714285718,15.57142857142857,14.785714285714285,20.714285714285715,1.428571428571429,27.000000000000007,29.571428571428577,59.4237805804975,59.4237805804975,59.4237805804975,59.4237805804975,0.0
14,119.19999999999999,85.71428571428571,12.071428571428575,7.499675215766399,7352.823609997618,1,1,108,4.0,4,76.92307692307692,13.230769230769235,7.538461538461538,14.384615384615385,13.769230769230772,14.461538461538465,23.384615384615387,46.69230769230769,18.999999999999993,72.37468976661778,72.37468976661778,72.37468976661778,72.37468976661778,0.0
15,130.0,100.0,12.23076923076923,5.662213392909792,6923.169416150463,3,3,111,4.0,4,100.0,16.333333333333332,15.0,22.0,8.333333333333332,28.999999999999996,48.0,86.0,15.333333333333336,10.864231332864923,10.864231332864923,10.864231332864923,10.864231332864923,0.0
16,30.0,100.0,15.416666666666664,5.104858688027728,3602.726516672798,0,0,114,4.0,4,33.33333333333334,19.000000000000004,15.0,18.000000000000004,25.333333333333336,38.00000000000001,48.0,82.0,73.33333333333334,13.303446326366005,13.303446326366005,13.303446326366005,13.303446326366005,0.0
17,30.0,100.0,19.333333333333336,4.011738432049983,4013.70761100164,2,2,121,4.0,4,28.57142857142857,25.0,20.71428571428571,21.142857142857142,21.0,50.99999999999999,77.28571428571429,77.42857142857143,45.285714285714285,12.413496571493202,12.413496571493202,12.413496571493202,12.413496571493202,0.0
18,70.0,100.0,21.96428571428571,2.930881235779997,4086.111689003051,5,5,124,4.0,4,33.33333333333334,20.333333333333332,12.666666666666668,27.333333333333336,13.333333333333334,37.66666666666667,55.333333333333336,74.33333333333333,32.33333333333333,14.182061325603476,14.182061325603476,14.182061325603476,14.182061325603476,0.0
19,30.0,100.0,18.416666666666668,6.8228756195121925,8321.276319339328,2,2,127,4.0,4,100.0,11.0,7.000000000000001,27.0,6.0,11.0,28.333333333333332,58.666666666666664,5.333333333333334,24.8831653346618,24.8831653346618,24.8831653346618,24.8831653346618,0.0
20,30.0,100.0,12.750000000000004,8.656076808238817,12658.756612664243,0,0,129,4.0,4,100.0,11.0,3.0000000000000004,24.000000000000004,5.0,11.0,2.5,63.99999999999999,4.0,13.021382001170423,13.021382001170423,13.021382001170423,13.021382001170423,0.0
21,20.0,100.0,10.75,8.221873250833408,8736.572196496127,0,0,145,4.0,4,76.47058823529412,15.764705882352938,2.3529411764705883,16.470588235294116,11.058823529411763,17.705882352941174,2.588235294117647,55.41176470588235,19.52941176470588,14.94245018602669,14.94245018602669,14.94245018602669,14.94245018602669,0.0
22,159.6,94.11764705882352,11.411764705882353,6.663606600875157,6026.737810999347,4,4,155,4.0,4,70.0,25.2,7.3,13.600000000000001,2.1,40.6,25.3,53.99999999999999,3.0,12.079953502689023,12.079953502689023,12.079953502689023,12.079953502689023,0.0
23,100.0,100.0,12.05,9.878344618176369,5049.882393698499,3,3,173,4.0,4,61.11111111111111,16.444444444444446,10.888888888888888,34.66666666666667,8.388888888888888,18.77777777777778,30.944444444444446,80.22222222222221,23.0,85.39004333174995,85.39004333174995,85.39004333174995,85.39004333174995,0.0
24,179.20264724934492,100.0,17.597222222222225,10.79643592672937,4970.582949609606,7,7,190,4.0,4,58.82352941176471,14.058823529411764,2.6470588235294112,24.411764705882348,4.294117647058823,14.411764705882351,7.35294117647059,67.47058823529412,5.823529411764706,20.286602002349408,20.286602002349408,20.286602002349408,20.286602002349408,0.0
25,170.0,100.0,11.352941176470589,9.183102808304021,6228.514369054156,7,7,197,4.0,4,28.57142857142857,11.0,3.1428571428571432,32.142857142857146,2.857142857142857,11.0,4.0,96.85714285714286,6.714285714285715,11.608481856196054,11.608481856196054,11.608481856196054,11.608481856196054,0.0
26,70.0,100.0,12.285714285714286,12.016804705153348,3025.7413468581426,5,5,208,4.0,4,81.81818181818181,21.090909090909093,7.000000000000001,18.454545454545457,0.9999999999999999,42.18181818181818,8.454545454545453,52.72727272727272,0.9999999999999999,12.89637191141744,12.89637191141744,12.89637191141744,12.89637191141744,0.0
27,109.9946894641679,100.0,11.886363636363638,8.645419311098332,7212.8447600897,2,2,225,4.0,4,41.17647058823529,19.76470588235294,2.2941176470588234,29.352941176470587,1.7647058823529411,33.64705882352941,4.529411764705882,74.88235294117648,1.7647058823529416,11.27451382447308,11.27451382447308,11.27451382447308,11.27451382447308,0.0
28,164.30031753035394,100.0,13.294117647058822,11.964130370183463,5307.028304000542,10,10,226,4.0,4,100.0,11.0,6.0,17.0,6.0,11.0,8.0,38.0,8.0,9.573011004249565,9.573011004249565,9.573011004249565,9.573011004249565,0.0
29,10.0,100.0,10.0,4.527692569068709,3520.4106230085017,0,0,246,4.0,4,60.0,22.95,7.3000000000000025,23.550000000000004,10.299999999999997,41.550000000000004,8.750000000000002,70.75,24.54999999999999,11.773151200031862,11.773151200031862,11.773151200031862,11.773151200031862,0.0
