episode,total_reward,success_rate,avg_util,avg_imbalance,avg_response_time,constraint_violations,projections,deployed_pods,avg_available_nodes,min_available_nodes,safety_compliance_rate,minikube_avg_cpu,minikube-m02_avg_cpu,minikube-m03_avg_cpu,minikube-m04_avg_cpu,minikube_avg_mem,minikube-m02_avg_mem,minikube-m03_avg_mem,minikube-m04_avg_mem,minikube_avg_rt,minikube-m02_avg_rt,minikube-m03_avg_rt,minikube-m04_avg_rt,epsilon
1,0,0,0,0,0,0,0,13,4,4,92.3076923076923,23.153846153846153,17.0,15.46153846153846,3.076923076923077,37.92307692307691,30.07692307692308,56.07692307692306,5.615384615384615,21.456104462021568,21.456104462021568,21.456104462021568,21.456104462021568,1
2,19.29099701535688,100.0,14.673076923076922,8.672053400481412,4218.571387461382,1,1,22,4.0,4,44.44444444444444,38.44444444444444,32.55555555555556,21.0,17.77777777777778,90.11111111111111,66.77777777777779,69.0,47.44444444444445,13.2704338894756,13.2704338894756,13.2704338894756,13.2704338894756,0.997901983389088
1,0,0,0,0,0,0,0,5,4,4,100.0,18.2,5.4,7.6,6.6000000000000005,27.0,19.8,29.2,11.400000000000002,28.99330180225661,28.99330180225661,28.99330180225661,28.99330180225661,1
2,4.9589194152816765,100.0,9.45,6.025981781593885,4106.595114599622,0,0,13,4.0,4,87.5,20.0,5.875,15.749999999999996,19.125,31.0,13.624999999999998,55.99999999999999,40.625,12.68260962478962,12.68260962478962,12.68260962478962,12.68260962478962,0.9983212342815199
3,14.538603363195602,100.0,15.187499999999998,6.36474645633886,4497.5044247494225,1,1,20,4.0,4,71.42857142857143,31.142857142857146,9.428571428571429,23.714285714285715,33.0,54.42857142857144,18.857142857142858,68.28571428571428,79.0,72.49518443027877,72.49518443027877,72.49518443027877,72.49518443027877,0.9966452868173772
4,21.214075461385825,100.0,24.32142857142857,9.547605179390239,4305.646711142409,2,2,37,4.0,4,52.94117647058824,30.588235294117645,19.058823529411764,20.823529411764707,21.058823529411764,54.529411764705884,46.05882352941176,48.0,56.94117647058823,41.17360076420215,41.17360076420215,41.17360076420215,41.17360076420215,0.9928846847722536
5,48.844365591760806,100.0,22.882352941176467,7.969370632879522,8931.947600411042,8,8,51,4.0,4,50.0,35.35714285714286,18.214285714285715,20.42857142857143,30.0,75.5,49.500000000000014,63.49999999999999,84.57142857142856,12.957718427060172,12.957718427060172,12.957718427060172,12.957718427060172,0.9897616913866147
6,52.79783692467039,100.0,26.0,7.405435307441122,5617.721937571851,7,7,59,4.0,4,62.5,31.5,20.375,9.25,23.75,66.875,65.375,17.25,61.00000000000001,14.926776376341877,14.926776376341877,14.926776376341877,14.926776376341877,0.9870630439312422
7,21.075161710833072,100.0,21.21875,8.825613540304344,9149.016931752158,3,3,66,4.0,4,28.57142857142857,37.42857142857142,30.0,2.428571428571429,29.428571428571438,93.2857142857143,88.99999999999999,5.857142857142857,78.71428571428571,13.67193657331102,13.67193657331102,13.67193657331102,13.67193657331102,0.9845785159961185
8,19.52645537470055,100.0,24.821428571428573,13.530881023987988,4249.986094429914,5,5,80,4.0,4,14.285714285714292,34.642857142857146,23.57142857142857,11.000000000000004,26.07142857142858,84.57142857142857,74.64285714285712,35.0,72.14285714285715,14.675665069911961,14.675665069911961,14.675665069911961,14.675665069911961,0.9804515256268633
