episode,total_reward,success_rate,avg_util,avg_imbalance,avg_response_time,deployed_pods,avg_available_nodes,min_available_nodes,safety_compliance_rate,safety_compliance_rate_after,z3_unsafe_prevented,epsilon,minikube_avg_cpu,minikube_avg_mem,minikube-m02_avg_cpu,minikube-m02_avg_mem,minikube-m03_avg_cpu,minikube-m03_avg_mem,minikube-m04_avg_cpu,minikube-m04_avg_mem,minikube_avg_rt,minikube-m02_avg_rt,minikube-m03_avg_rt,minikube-m04_avg_rt
1,12.958499903603537,15.0,0,0,0,3,4,4,100.0,100,0,1,11.0,11.0,1.0,1.0,10.5,28.000000000000004,5.500000000000001,6.0,100.0,100.0,44.4312903326742,108.7601619947236
2,15.114657028603032,15.0,7.000000000000001,6.011699224701072,3272.168939747644,6,4.0,4,100.0,100,0,1,23.0,31.0,1.0,1.0,25.0,62.0,11.333333333333334,23.666666666666668,12.721758997940924,100.0,100.0,42.545846331631765
3,46.24231785244483,55.00000000000001,15.083333333333332,10.39269968218851,5418.770907000483,17,4.0,4,91.66666666666666,100.0,1,0.9930227045625007,25.307692307692303,55.92307692307692,17.76923076923077,27.461538461538463,31.0,64.76923076923077,22.69230769230769,58.53846153846154,30.707230542214926,33.166953089609954,21.33639282229441,61.4690297246191
4,37.42548608188192,65.0,24.192307692307693,6.570492364468741,6107.179660153074,30,4.0,4,76.47058823529412,100.0,4,0.9831395048898272,38.78947368421053,73.89473684210526,28.21052631578947,54.421052631578945,20.263157894736842,55.84210526315789,22.47368421052632,52.0,26.298127999829237,10.947552921537023,66.19703538509874,21.458273382002236
5,14.60884055466055,40.0,27.434210526315788,9.492972103848718,6052.152331209647,38,4.0,4,85.71428571428571,100.0,1,0.9777457355241367,27.555555555555557,50.0,16.666666666666664,37.99999999999999,18.555555555555557,56.44444444444444,15.333333333333336,27.888888888888886,66.98742775297433,45.310531000177434,80.10678274986276,24.886794625672337
6,14.934745380758164,15.0,19.52777777777778,6.747645158856068,11420.078220888778,41,4.0,4,100.0,100,0,0.9753038143277888,11.0,11.0,12.0,21.0,15.0,48.0,20.666666666666668,28.999999999999996,100.0,11.71852600236889,100.0,42.286498002067674
7,9.406462853625925,10.0,14.666666666666664,4.6139402137981715,3975.8873866691524,43,4.0,4,100.0,100,0,0.973354669167264,28.999999999999996,48.0,12.0,21.0,15.0,48.0,20.0,25.0,14.896949996909825,100.0,100.0,100.0
8,11.889404632934653,15.0,19.0,6.558952439567915,3895.994355501898,46,4.0,4,100.0,100,0,0.9709237146646298,35.0,65.0,17.5,31.5,15.0,48.0,33.24999999999999,50.0,100.0,124.08944533478159,100.0,22.529472332583584
9,16.242521810691013,75.0,25.1875,9.470572268841511,3756.8710560008185,61,4.0,4,41.17647058823529,100.0,10,0.9612604583313399,30.1578947368421,57.73684210526315,30.526315789473685,60.89473684210526,26.842105263157894,56.94736842105262,29.894736842105267,56.368421052631575,73.07937360019423,23.405353734269738,39.062666400083494,12.709962132309252
10,-18.30044629069424,65.0,29.35526315789474,7.144802565535392,5301.623385473488,74,4.0,4,35.294117647058826,100.0,11,0.9516933769307994,39.05263157894737,68.42105263157896,24.631578947368418,71.73684210526315,16.42105263157895,29.736842105263158,30.315789473684212,67.78947368421055,19.98085207641662,22.323842692668013,26.444854152885874,66.43977576884656
11,11.959077741302192,20.0,27.60526315789474,10.259982889696522,5354.702584578358,78,4.0,4,50.0,100.0,1,0.9493165215325956,44.0,82.0,27.0,82.0,35.75000000000001,47.75,17.5,31.5,100.0,100.0,12.569509000968537,66.95819399901666
