episode,total_reward,success_rate,avg_util,avg_imbalance,avg_response_time,constraint_violations,projections,deployed_pods,avg_available_nodes,min_available_nodes,safety_compliance_rate,minikube_avg_cpu,minikube-m02_avg_cpu,minikube-m03_avg_cpu,minikube-m04_avg_cpu,minikube_avg_mem,minikube-m02_avg_mem,minikube-m03_avg_mem,minikube-m04_avg_mem,minikube_avg_rt,minikube-m02_avg_rt,minikube-m03_avg_rt,minikube-m04_avg_rt,epsilon
1,0,0,0,0,0,0,0,20,4,4,60.0,33.50000000000001,14.649999999999999,9.150000000000002,16.799999999999997,82.2,40.099999999999994,19.2,44.800000000000004,51.46576545002972,51.46576545002972,51.46576545002972,51.46576545002972,0.0
2,200.0,100.0,18.525000000000006,9.696798014542942,4157.043585250084,8,8,28,4.0,4,62.5,35.0,28.125,11.000000000000002,24.0,82.0,61.5,23.625,85.5,691.6904661248964,691.6904661248964,691.6904661248964,691.6904661248964,0.0
3,80.0,100.0,24.53125,9.656865937977678,5451.38975524992,3,3,40,4.0,4,66.66666666666667,24.583333333333336,29.833333333333336,10.000000000000002,18.75,52.75,51.916666666666664,21.0,56.75,14.327944166855863,14.327944166855863,14.327944166855863,14.327944166855863,0.0
4,120.0,100.0,20.791666666666668,9.310021313231708,7056.759136749936,4,4,52,4.0,4,41.666666666666664,38.166666666666664,25.33333333333333,1.5833333333333335,15.583333333333337,89.16666666666667,66.33333333333334,2.083333333333333,32.5,40.82202058308818,40.82202058308818,40.82202058308818,40.82202058308818,0.0
5,114.41356746506344,100.0,20.166666666666668,14.380846037526352,5405.843936916881,7,7,52,4.0,4,100.0,0.0
6,0,0,0,0,0,0,0,56,4,4,50.0,36.5,36.0,10.25,14.000000000000002,83.50000000000001,99.0,19.25,38.0,12.284521249739555,12.284521249739555,12.284521249739555,12.284521249739555,0.0
7,38.206118970548005,100.0,24.187499999999996,12.403404190115083,4129.970166750127,2,2,63,4.0,4,28.57142857142857,31.571428571428577,27.571428571428573,17.0,12.0,74.85714285714286,71.85714285714286,35.0,48.0,42.29202342854218,42.29202342854218,42.29202342854218,42.29202342854218,0.0
8,70.0,100.0,22.03571428571429,9.312534861772473,11670.980156142832,5,5,83,4.0,4,70.0,35.449999999999996,18.650000000000006,21.1,17.85,67.65,57.49999999999999,39.099999999999994,40.05,15.496309150057641,15.496309150057641,15.496309150057641,15.496309150057641,0.0
9,200.0,100.0,23.26250000000001,8.09289088383706,6043.919679300097,6,6,86,4.0,4,33.33333333333334,34.0,24.0,27.0,22.666666666666664,55.00000000000001,85.66666666666666,55.333333333333336,55.333333333333336,31.69486633305496,31.69486633305496,31.69486633305496,31.69486633305496,0.0
10,30.0,100.0,26.91666666666667,4.581237153648187,10681.280706000203,2,2,102,4.0,4,62.5,17.812499999999996,19.374999999999996,11.0,14.6875,29.75,58.74999999999999,20.1875,37.9375,30.73662337510541,30.73662337510541,30.73662337510541,30.73662337510541,0.0
11,160.0,100.0,15.71875,8.321804733493009,9942.416296999909,6,6,111,4.0,4,44.44444444444444,37.888888888888886,23.77777777777778,6.444444444444445,1.666666666666667,68.11111111111111,67.88888888888889,11.11111111111111,2.111111111111111,33.49894900000234,33.49894900000234,33.49894900000234,33.49894900000234,0.0
12,82.83184039041943,100.0,17.444444444444443,15.146786567910475,13203.449160777885,5,5,117,4.0,4,66.66666666666667,26.166666666666664,29.33333333333333,11.0,3.6666666666666674,39.5,81.33333333333334,29.666666666666668,6.333333333333334,48.54222216651275,48.54222216651275,48.54222216651275,48.54222216651275,0.0
13,57.71104180992469,100.0,17.541666666666668,11.373471916517836,10038.945226666783,2,2,119,4.0,4,100.0,21.0,7.500000000000001,12.0,8.0,45.0,12.5,48.0,14.000000000000002,396.04662200008534,396.04662200008534,396.04662200008534,396.04662200008534,0.0
14,20.0,100.0,12.125,5.415935326996227,44152.779149999784,0,0,125,4.0,4,100.0,20.0,14.666666666666664,2.0,12.833333333333332,31.0,34.66666666666667,2.666666666666667,35.833333333333336,31.29691333348698,31.29691333348698,31.29691333348698,31.29691333348698,0.0
15,60.0,100.0,12.375000000000002,7.266789726916113,10317.98896633336,0,0,145,4.0,4,55.0,34.65,21.199999999999996,2.8000000000000003,18.299999999999997,70.15,60.85,6.6000000000000005,44.9,39.137041850062815,39.137041850062815,39.137041850062815,39.137041850062815,0.0
16,194.8291400286276,100.0,19.2375,12.632877829073735,10573.295442799918,9,9,149,4.0,4,75.0,32.49999999999999,30.0,20.0,7.750000000000002,75.0,89.0,55.00000000000001,13.5,19.31907499965746,19.31907499965746,19.31907499965746,19.31907499965746,0.0
17,40.0,100.0,22.562500000000004,9.83786663014774,7376.002051999876,1,1,155,4.0,4,50.0,30.33333333333333,12.666666666666668,14.000000000000002,8.5,62.66666666666666,40.5,34.66666666666667,17.666666666666668,23.13696099993952,23.13696099993952,23.13696099993952,23.13696099993952,0.0
18,60.0,100.0,16.374999999999996,9.255894174579737,16126.278892000148,3,3,169,4.0,4,42.85714285714286,31.78571428571429,26.571428571428573,15.500000000000004,0.9999999999999999,66.35714285714286,69.57142857142856,52.42857142857144,0.9999999999999999,19.151557428553392,19.151557428553392,19.151557428553392,19.151557428553392,0.0
19,137.54049837061922,100.0,18.714285714285715,12.361161012064446,8002.684278071359,8,8,180,4.0,4,63.63636363636363,37.36363636363637,14.545454545454547,4.090909090909091,0.9999999999999999,69.18181818181819,38.45454545454546,9.545454545454545,0.9999999999999999,19.50532672725041,19.50532672725041,19.50532672725041,19.50532672725041,0.0
20,103.00471455868784,100.0,14.249999999999998,14.739314789488702,8857.400006454554,4,4,190,4.0,4,30.0,39.800000000000004,13.4,11.7,0.9999999999999999,71.6,36.8,36.3,0.9999999999999999,16.22716970023248,16.22716970023248,16.22716970023248,16.22716970023248,0.0
