episode,total_reward,success_rate,avg_util,avg_imbalance,avg_response_time,constraint_violations,projections,deployed_pods,avg_available_nodes,min_available_nodes,safety_compliance_rate,node1_avg_cpu,node2_avg_cpu,node3_avg_cpu,node4_avg_cpu,node1_avg_mem,node2_avg_mem,node3_avg_mem,node4_avg_mem,epsilon
1,0,0,0,0,0,0,0,16,4,4,100.0,24.842105263157894,6.421052631578947,2.1052631578947367,3.4210526315789482,46.1578947368421,17.421052631578945,3.263157894736843,6.947368421052633,0.9985008997300406
2,60.037614288391104,84.21052631578947,9.197368421052632,9.546166446524417,12209.077298473667,0,0,29,4.0,4,100.0,24.65,7.849999999999999,2.6,10.65,40.7,23.2,5.450000000000001,28.650000000000002,0.9925269380023368
3,51.51051816870992,65.0,11.437499999999998,8.475606491420145,4264.038963150028,0,0,36,4.0,4,100.0,26.727272727272734,9.181818181818183,2.4545454545454546,10.090909090909092,51.90909090909091,24.181818181818187,4.363636363636363,25.545454545454543,0.9865887180738979
4,30.200993389083067,63.63636363636363,12.113636363636365,9.408335122510666,7033.1575354545175,0,0,39,4.0,4,100.0,24.5,7.249999999999999,8.0,4.000000000000001,44.49999999999999,17.5,18.0,6.25,0.9806860261040145
5,13.055932800084356,75.0,10.9375,8.046162881826206,1787.919768250049,0,0,43,4.0,4,100.0,31.25,9.125,10.625,5.0,70.125,22.750000000000004,19.875,8.0,0.9748186495313712
6,17.722358100268313,50.0,14.000000000000002,10.306763969928568,2899.5564226250394,0,0,57,4.0,4,43.75,35.62499999999999,5.687499999999999,10.0625,1.7500000000000002,78.4375,13.375,28.500000000000004,2.3125,0.9689863770663922
7,43.19514929746356,87.5,13.28125,13.332759867583455,4122.058809937585,9,9,61,4.0,4,100.0,27.399999999999995,7.999999999999999,20.0,1.0,42.199999999999996,19.6,71.6,1.0,0.9631889986836326
8,18.090442220667097,80.0,14.100000000000001,10.438497428478728,3583.1942113999503,0,0,71,4.0,4,100.0,26.666666666666668,11.083333333333336,15.833333333333336,3.7500000000000004,46.0,33.666666666666664,43.66666666666666,10.75,0.957426305614215
9,44.625836190430974,83.33333333333334,14.333333333333334,8.706965036794923,7832.788275166611,0,0,87,4.0,4,100.0,26.055555555555554,5.444444444444444,13.611111111111112,4.88888888888889,45.38888888888889,12.611111111111114,38.5,14.222222222222221,0.9516980903383123
10,67.6853726935391,88.88888888888889,12.5,9.127528991212781,5440.543133111128,0,0,100,4.0,4,100.0,29.312500000000004,3.875,11.374999999999998,14.687500000000004,57.6875,10.125,30.1875,47.68749999999999,0.9460041465776737
11,58.23659480103869,81.25,14.8125,9.377884187165996,3961.5475764374823,0,0,114,4.0,4,100.0,22.705882352941174,9.411764705882353,10.705882352941176,6.176470588235294,35.705882352941174,26.294117647058822,26.823529411764703,11.294117647058824,0.9403442692881969
12,62.34552553617364,82.35294117647058,12.25,6.788635330141999,6735.592932176533,0,0,116,4.0,4,100.0,34.0,15.000000000000002,1.0,7.000000000000001,57.99999999999999,41.5,1.0,28.000000000000004,0.9347182546525445
13,9.001954718586516,50.0,14.250000000000002,12.467421356891368,3278.887699250049,0,0,124,4.0,4,100.0,23.81818181818182,6.81818181818182,2.272727272727273,3.5454545454545454,35.36363636363637,10.909090909090912,3.1818181818181817,11.454545454545457,0.9291259000728042
14,33.74464148484549,72.72727272727273,9.113636363636365,8.769546443956562,7439.938498818141,0,0,139,4.0,4,94.73684210526316,27.157894736842113,4.05263157894737,15.0,5.36842105263158,55.736842105263165,9.631578947368421,36.73684210526316,15.05263157894737,0.923567004163192
15,64.44323563998539,78.94736842105263,12.894736842105264,9.694801321770504,5822.87454173679,1,1,150,4.0,4,94.11764705882354,28.999999999999996,3.823529411764707,1.823529411764706,12.411764705882355,62.05882352941177,10.529411764705882,2.235294117647059,39.35294117647059,0.9180413667428027
16,46.9543529637815,64.70588235294117,11.76470588235294,10.969217613746224,3378.070179764724,1,1,157,4.0,4,100.0,27.81818181818182,5.0,2.1818181818181825,10.727272727272728,52.27272727272727,11.0,2.727272727272728,40.72727272727273,0.912548788828398
17,27.580137036170427,63.63636363636363,11.431818181818182,10.336140954099365,4229.411459727255,0,0,171,4.0,4,100.0,31.533333333333335,15.666666666666668,12.466666666666665,11.733333333333338,55.93333333333334,48.86666666666667,29.066666666666663,34.46666666666666,0.9070890726272437
18,66.09318489303337,93.33333333333333,17.849999999999998,8.261110743610562,3140.977514000042,0,0,185,4.0,4,80.0,27.666666666666668,8.200000000000001,11.733333333333338,7.199999999999999,50.4,28.333333333333332,36.8,16.2,0.9016620215299852
19,56.986654598745936,93.33333333333333,13.700000000000001,8.415874389078612,7851.1771985999685,3,3,189,4.0,4,100.0,35.0,15.4,11.000000000000002,15.2,72.0,45.60000000000001,39.2,35.0,0.8962674401035682
20,17.706225389715698,80.0,19.15,9.460238998912285,3362.4697245997595,0,0,199,4.0,4,85.71428571428572,30.428571428571427,10.214285714285717,3.3571428571428577,6.142857142857145,60.2857142857143,31.857142857142858,7.571428571428573,17.857142857142858,0.8909051340842012
21,33.92064199029683,71.42857142857143,12.535714285714288,10.789516865722453,7352.2562504285825,2,2,210,4.0,4,63.63636363636363,35.45454545454545,8.000000000000002,5.272727272727273,15.454545454545453,89.45454545454545,27.18181818181819,10.272727272727273,59.454545454545446,0.8855749103703591
22,38.596848774767324,100.0,16.045454545454547,11.97924613706872,3626.2747336364887,4,4,219,4.0,4,77.77777777777777,34.8888888888889,7.222222222222223,23.44444444444445,23.444444444444443,85.22222222222223,22.77777777777778,57.55555555555555,89.99999999999999,0.8802765770158295
23,35.67310626878255,100.0,22.25,10.469976782286865,3650.9230733335144,2,2,235,4.0,4,81.25,30.5,10.4375,13.5,10.625000000000002,70.375,20.25,27.9375,25.4375,0.875009943222802
24,66.00564028757223,100.0,16.265625,9.779916067557846,5732.753869874955,3,3,241,4.0,4,100.0,25.75,17.5,3.375,4.5,43.50000000000001,47.37499999999999,4.5,9.125,0.8697748193349952
25,26.40270967604173,75.0,12.78125,9.427705207918981,3944.4675114998518,0,0,250,4.0,4,100.0,20.357142857142854,10.285714285714285,9.0,10.857142857142858,29.928571428571438,28.78571428571428,22.28571428571429,33.92857142857143,0.8645710168308287
26,35.79778062657628,64.28571428571429,12.625,4.9389082631451,3577.114656928513,0,0,261,4.0,4,66.66666666666667,25.416666666666664,10.833333333333334,7.166666666666666,21.33333333333333,52.66666666666667,30.166666666666664,15.583333333333332,78.41666666666667,0.8593983483166334
27,40.8127455012492,91.66666666666666,16.187500000000004,7.973888157062102,5042.603936333383,4,4,272,4.0,4,100.0,19.615384615384617,1.7692307692307694,5.461538461538461,15.46153846153846,30.307692307692314,2.153846153846154,12.23076923076923,44.53846153846153,0.8542566275199036
28,48.233736536670335,84.61538461538461,10.576923076923077,7.3780220625678075,4925.89108753852,0,0,284,4.0,4,88.23529411764706,23.94117647058824,10.0,3.5882352941176467,24.176470588235297,44.41176470588235,16.52941176470588,5.647058823529411,60.411764705882355,0.849145669282589
29,48.51163611842189,70.58823529411765,15.426470588235297,9.90945930454325,4843.357078294128,2,2,284,4.0,4,100.0,0.8440652895544274
30,0,0,0,0,0,0,0,294,4,4,100.0,23.545454545454543,3.7272727272727275,8.545454545454545,8.272727272727272,39.81818181818182,10.0,23.36363636363636,16.18181818181818,0.8390153053863164
31,42.76720225606856,90.9090909090909,11.022727272727272,7.7214207020874035,2522.0937453635665,0,0,297,4.0,4,100.0,27.333333333333336,7.000000000000001,13.0,15.0,50.33333333333333,28.000000000000004,36.00000000000001,34.99999999999999,0.8339955349237254
32,14.281828309514967,100.0,15.583333333333336,7.424129894278152,2747.2483886664727,0,0,310,4.0,4,80.0,27.46666666666667,9.200000000000001,8.333333333333332,22.533333333333328,49.06666666666668,27.53333333333334,19.399999999999995,58.66666666666666,0.829005797400147
33,53.993372747764106,86.66666666666667,16.883333333333333,9.174521310852029,7912.871040666686,3,3,316,4.0,4,100.0,24.857142857142858,8.142857142857142,6.428571428571428,10.42857142857143,42.714285714285715,17.142857142857142,11.714285714285714,43.42857142857143,0.8240459131305865
