episode,total_reward,success_rate,avg_util,avg_imbalance,avg_response_time,deployed_pods,avg_available_nodes,min_available_nodes,safety_compliance_rate,safety_compliance_rate_after,z3_unsafe_prevented,epsilon,minikube_avg_cpu,minikube_avg_mem,minikube-m02_avg_cpu,minikube-m02_avg_mem,minikube-m03_avg_cpu,minikube-m03_avg_mem,minikube-m04_avg_cpu,minikube-m04_avg_mem,minikube_avg_rt,minikube-m02_avg_rt,minikube-m03_avg_rt,minikube-m04_avg_rt
1,8.21154640873249,10.0,0,0,0,2,4,4,100.0,100,0,1,11.0,11.0,4.0,4.333333333333334,1.0,1.0,10.333333333333334,32.33333333333333,100.0,55.76412000009441,100.0,137.80300600046758
2,4.292391406890985,5.0,6.583333333333334,5.20397113150195,1800.6692006668648,3,4.0,4,100.0,100,0,0.999100269973,11.0,11.0,10.0,11.0,7.000000000000001,18.0,15.0,48.0,100.0,100.0,11.622099998930935,100.0
3,42.35624712920848,50.0,10.75,3.5188294047909157,1256.7849920005756,13,4.0,4,85.71428571428571,100.0,2,0.9931227222546445,18.1875,27.749999999999996,13.25,23.0,21.625,50.0625,23.25,63.74999999999999,20.194526499981293,46.12166619976051,12.973786700058554,28.79113840055652
4,4.89103803333266,15.0,19.078125,6.252581879838156,2062.23673337513,16,4.0,4,20.0,100.0,8,0.9889597307439081,35.99999999999999,79.0,22.333333333333336,58.08333333333332,22.833333333333336,49.333333333333336,24.333333333333332,57.99999999999999,100.0,40.539596999709225,100.0,16.588431000855053
5,1.8758771985063407,10.0,26.375,6.002584064191726,2248.3212658329044,18,4.0,4,100.0,100,0,0.9868847835089506,36.00000000000001,79.0,23.0,59.0,28.333333333333332,59.66666666666667,25.0,55.00000000000001,100.0,100.0,13.065565999568207,100.0
6,6.608215241942467,15.0,28.083333333333332,5.346279376117103,2375.232804666666,21,4.0,4,66.66666666666666,100.0,1,0.9851097226602945,31.599999999999994,57.800000000000004,23.000000000000004,59.0,20.200000000000003,47.0,15.8,44.400000000000006,40.98390899998776,100.0,100.0,13.472708000335842
7,20.438973483666178,20.0,22.650000000000002,6.837352020857554,3239.095343599547,25,4.0,4,100.0,100,0,0.9827479403134837,20.0,21.000000000000004,13.999999999999998,16.599999999999998,13.0,35.0,16.0,44.39999999999999,100.0,9.065595999345533,100.0,35.20858425044935
8,9.490414905390224,10.0,15.75,4.106843442225479,4072.7012190003734,27,4.0,4,100,100,0,0.9815691733628665,35.0,41.0,10.0,11.0,13.0,35.0,26.0,69.0,13.400751499830221,100.0,100.0,100.0
9,7.883597767715734,15.0,21.000000000000004,10.159751576829624,5135.876708500291,30,4.0,4,100.0,100,0,0.9800977027500946,40.00000000000001,48.0,15.0,48.0,15.333333333333336,34.99999999999999,26.0,69.0,100.0,12.551703001008718,40.046108000024105,100.0
10,15.079075250304633,15.0,24.083333333333336,10.427398784311372,4613.728333333711,33,4.0,4,100.0,100,0,0.9786284380193153,50.0,62.0,20.333333333333332,55.33333333333332,23.0,59.0,26.0,69.0,11.781774333333791,45.695233999625394,100.0,100.0
