episode,total_reward,success_rate,avg_util,avg_imbalance,avg_response_time,constraint_violations,projections,deployed_pods,avg_available_nodes,min_available_nodes,safety_compliance_rate,minikube_avg_cpu,minikube-m02_avg_cpu,minikube-m03_avg_cpu,minikube-m04_avg_cpu,minikube_avg_mem,minikube-m02_avg_mem,minikube-m03_avg_mem,minikube-m04_avg_mem,epsilon
1,0,0,0,0,0,0,0,10,4,4,100.0,14.000000000000004,7.357142857142855,3.0714285714285716,5.285714285714286,20.07142857142857,23.142857142857146,4.8571428571428585,11.5,0.9985008997300406
2,33.133126056231866,71.42857142857143,7.428571428571429,5.702596038905255,7666.792676142856,0,0,20,4.0,4,100.0,18.153846153846157,3.846153846153847,3.6923076923076925,4.230769230769231,26.846153846153847,5.076923076923078,5.769230769230769,15.538461538461535,0.9925269380023368
3,41.34965093516074,76.92307692307693,7.480769230769231,6.369480139213814,7933.409810923064,0,0,33,4.0,4,93.33333333333333,20.73333333333333,7.866666666666668,9.933333333333334,5.666666666666665,41.13333333333333,17.666666666666668,32.06666666666666,12.733333333333333,0.9865887180738979
4,55.56630157749305,86.66666666666667,11.05,6.677249083681507,5003.531339666674,1,1,41,4.0,4,100.0,15.58333333333333,8.5,1.916666666666667,4.833333333333334,22.41666666666667,24.999999999999996,2.8333333333333335,10.416666666666668,0.9806860261040145
5,33.507436255211175,66.66666666666666,7.708333333333332,5.564942170912081,8030.499795666675,0,0,44,4.0,4,100.0,23.333333333333332,5.000000000000001,1.0,1.0,42.333333333333336,8.0,1.0,1.0,0.9748186495313712
6,14.668324964263697,100.0,7.583333333333335,9.240833730403363,7875.280061999964,0,0,52,4.0,4,100.0,26.875,7.250000000000001,8.875,1.0,58.25,15.25,24.625,1.0,0.9689863770663922
7,34.604027425429194,100.0,11.0,9.983219060711704,7287.6006353750145,0,0,65,4.0,4,93.33333333333333,20.666666666666668,12.866666666666667,10.200000000000003,2.6666666666666665,38.06666666666667,41.6,24.333333333333346,5.333333333333334,0.9631889986836326
8,57.671906334383046,86.66666666666667,11.600000000000001,7.15456333811116,8950.390397200032,1,1,74,4.0,4,100.0,12.090909090909092,13.18181818181818,7.818181818181818,7.454545454545454,12.090909090909092,38.99999999999999,24.363636363636367,20.363636363636363,0.957426305614215
9,39.027220107549276,81.81818181818183,10.136363636363637,3.0513453669718382,5185.476787727298,0,0,77,4.0,4,100.0,14.000000000000002,20.0,13.333333333333334,10.666666666666668,14.000000000000002,54.0,43.99999999999999,32.33333333333333,0.9516980903383123
10,14.433319531695016,100.0,14.499999999999998,3.518671870055381,2863.8627456666654,0,0,81,4.0,4,100.0,17.75,23.25,16.0,11.5,24.25,67.75,48.0,39.24999999999999,0.9460041465776737
11,19.505244390666483,100.0,17.125,4.956296744445964,3033.9843074999635,0,0,81,4.0,4,100.0,0.9403442692881969
12,0,0,0,0,0,0,0,85,4,4,100.0,25.5,12.833333333333332,14.000000000000002,15.333333333333336,44.0,31.666666666666664,40.166666666666664,50.66666666666667,0.9347182546525445
13,18.129298193678174,66.66666666666666,16.916666666666664,5.542083341424917,4203.43398666671,0,0,89,4.0,4,100.0,17.5,8.0,7.000000000000001,10.25,24.000000000000004,29.75,11.0,22.749999999999996,0.9291259000728042
14,17.626256898115333,100.0,10.6875,4.3645258490389,8326.43701575006,0,0,89,4.0,4,100.0,0.923567004163192
15,0,0,0,0,0,0,0,89,4,4,100.0,0.9180413667428027
16,0,0,0,0,0,0,0,89,4,4,100.0,0.912548788828398
17,0,0,0,0,0,0,0,102,4,4,100.0,21.538461538461544,12.769230769230766,7.461538461538463,8.53846153846154,43.00000000000001,36.769230769230774,16.692307692307693,19.000000000000007,0.9070890726272437
18,59.23483167963563,100.0,12.57692307692308,6.064534154780414,4502.341048692275,0,0,117,4.0,4,75.0,25.687500000000004,25.5,10.750000000000002,4.062499999999999,58.06250000000001,73.6875,17.375,8.750000000000002,0.9016620215299852
19,70.25157017937231,93.75,16.5,10.19718851511501,4292.251019499986,4,4,118,4.0,4,100.0,20.0,13.0,7.000000000000001,1.0,31.0,38.0,11.0,1.0,0.8962674401035682
20,4.788531917301925,100.0,10.25,7.048936089935844,24966.493477000084,0,0,128,4.0,4,100.0,19.92857142857143,10.14285714285714,3.9285714285714293,2.0,41.785714285714285,36.07142857142857,5.214285714285715,2.5,0.8909051340842012
21,42.47593460686999,71.42857142857143,9.0,7.376625698494409,4173.683248857158,0,0,138,4.0,4,100.0,14.999999999999996,11.545454545454547,6.636363636363636,6.2727272727272725,17.090909090909093,34.45454545454546,20.09090909090909,13.454545454545455,0.8855749103703591
22,36.66066421187319,90.9090909090909,9.863636363636363,4.965256072770758,10285.256476999972,0,0,145,4.0,4,100.0,19.5,2.5,9.375,6.625,37.5,7.750000000000002,19.75,18.125,0.8802765770158295
23,30.793266262345444,87.5,9.5,6.886466790239193,5504.850518000012,0,0,161,4.0,4,100.0,18.263157894736842,7.05263157894737,7.631578947368423,8.631578947368421,37.21052631578947,14.684210526315791,28.26315789473684,19.73684210526316,0.875009943222802
24,65.95237736672343,84.21052631578947,10.394736842105264,6.080735857159401,7042.179697421057,0,0,161,4.0,4,100.0,0.8697748193349952
25,0,0,0,0,0,0,0,168,4,4,100.0,19.7,9.700000000000001,6.800000000000002,8.5,44.800000000000004,20.400000000000006,9.8,20.200000000000003,0.8645710168308287
26,31.051391723342004,70.0,11.174999999999999,5.418704434502324,4255.220515400014,0,0,171,4.0,4,100.0,22.0,7.000000000000001,4.666666666666667,2.666666666666667,44.5,28.000000000000004,7.333333333333335,5.333333333333334,0.8593983483166334
27,12.96793700776508,50.0,9.083333333333334,7.661437709971854,4332.520701166685,0,0,181,4.0,4,72.72727272727273,27.0,5.0,2.3636363636363638,5.181818181818181,65.27272727272727,15.545454545454549,6.181818181818182,12.636363636363637,0.8542566275199036
28,45.02365031750649,90.9090909090909,9.886363636363637,10.108254331758713,4150.67069563644,3,3,192,4.0,4,100.0,16.666666666666664,11.66666666666667,10.750000000000002,8.916666666666668,29.083333333333332,29.83333333333333,35.66666666666667,25.25,0.849145669282589
29,44.505505467442255,91.66666666666666,11.999999999999998,3.5564887670130294,7370.135978833333,0,0,203,4.0,4,100.0,17.833333333333332,9.500000000000002,8.75,16.416666666666664,20.416666666666664,26.833333333333336,22.083333333333332,60.66666666666666,0.8440652895544274
30,49.2599592425739,91.66666666666666,13.125,4.720813735047538,3614.119393083456,0,0,214,4.0,4,100.0,13.545454545454547,14.81818181818182,16.545454545454543,10.181818181818182,14.000000000000002,48.72727272727273,46.63636363636364,30.45454545454545,0.8390153053863164
31,51.07983127660003,100.0,13.772727272727273,4.303541586060509,8099.900108636328,0,0,223,4.0,4,81.81818181818181,27.272727272727277,3.181818181818183,5.363636363636364,11.0,66.90909090909089,4.363636363636363,14.727272727272728,35.0,0.8339955349237254
32,40.43441662764347,81.81818181818183,11.704545454545455,9.866156730686138,2930.894046000007,2,2,229,4.0,4,77.77777777777777,28.22222222222222,1.2222222222222223,4.222222222222222,15.555555555555555,65.66666666666667,1.3333333333333335,9.666666666666666,52.666666666666664,0.829005797400147
33,27.842391294825713,66.66666666666666,12.305555555555557,10.809906297741113,6588.685000888897,2,2,240,4.0,4,100.0,13.538461538461538,7.461538461538463,12.076923076923075,6.615384615384615,20.307692307692303,12.076923076923077,50.84615384615384,13.153846153846155,0.8240459131305865
34,47.42521554472251,84.61538461538461,9.923076923076923,3.5562992026268607,3717.403523230831,0,0,247,4.0,4,100.0,17.7,6.4,5.6000000000000005,7.600000000000001,29.2,10.200000000000001,16.5,14.399999999999999,0.8191157035050931
35,31.168150050246997,70.0,9.325,5.176140640408526,6628.083977799953,0,0,248,4.0,4,100.0,16.0,1.0,8.0,5.0,17.0,1.0,17.5,8.0,0.8142149909823264
36,3.9316254175951726,50.0,7.500000000000001,5.567583294377272,1271.9147069999508,0,0,255,4.0,4,100.0,23.75,2.5,6.0,11.75,38.625,3.6249999999999996,14.000000000000002,37.375,0.8093435990831642
37,31.742597753880453,87.5,11.000000000000002,8.217970615615833,2953.1126735000726,0,0,264,4.0,4,77.77777777777777,38.11111111111111,5.444444444444445,2.555555555555556,9.000000000000002,82.55555555555554,8.666666666666666,3.666666666666666,33.33333333333333,0.804501352384346
38,43.01950798466356,100.0,13.77777777777778,14.372192649394222,4559.649440444446,2,2,269,4.0,4,40.0,32.4,3.8000000000000007,3.0,1.7999999999999998,71.80000000000003,5.6000000000000005,4.0,2.4,0.7996880765121566
39,23.667965634141797,100.0,10.25,12.880229105721366,8435.074582200195,3,3,283,4.0,4,100.0,20.57894736842105,9.0,10.684210526315791,2.263157894736842,39.526315789473685,18.789473684210527,24.1578947368421,3.2105263157894735,0.794903598136147
40,61.273398659111486,73.68421052631578,10.631578947368421,6.90716291849667,3302.7000798420936,0,0,290,4.0,4,100.0,24.857142857142858,10.857142857142858,7.285714285714286,7.428571428571429,37.28571428571428,35.14285714285714,16.857142857142858,16.57142857142857,0.7901477449628918
41,30.761402588410423,100.0,12.607142857142856,7.326654340902726,5313.492522857165,0,0,296,4.0,4,100.0,15.363636363636369,12.454545454545455,3.5454545454545454,11.000000000000002,20.181818181818183,43.18181818181818,8.090909090909092,36.36363636363637,0.7854203457297855
42,24.53944435881194,54.54545454545454,10.590909090909092,4.544343138766987,5213.050469545496,0,0,296,4.0,4,100.0,0.780721230198875
43,0,0,0,0,0,0,0,301,4,4,100.0,12.8,12.6,6.0,11.000000000000002,12.8,32.0,14.400000000000002,35.0,0.7760502291507289
44,22.277559335697386,100.0,10.600000000000001,3.816271095350761,5149.588279000091,0,0,301,4.0,4,100.0,0.771407174378344
45,0,0,0,0,0,0,0,307,4,4,100.0,13.375,7.125000000000001,11.0,11.5,16.75,11.374999999999998,28.000000000000004,30.75,0.766791898681088
46,26.81278428897658,75.0,10.75,3.0339515767532825,3549.976830499986,0,0,308,4.0,4,100.0,20.0,10.0,6.0,10.0,31.0,31.0,14.000000000000002,21.0,0.7622042358586785
47,4.344838793508171,100.0,11.500000000000002,5.172040216394301,3858.4345750000466,0,0,311,4.0,4,100.0,21.800000000000004,11.399999999999999,1.7999999999999998,7.6,32.800000000000004,35.6,2.4,16.8,0.7576440207051971
48,12.585803709660485,60.0,10.65,7.406585970743591,4650.540041800014,0,0,311,4.0,4,100.0,0.7531110890031425
49,0,0,0,0,0,0,0,315,4,4,100.0,18.0,8.0,9.0,2.2499999999999996,21.0,17.0,14.500000000000002,4.250000000000001,0.748605277517514
50,17.45354363282277,100.0,9.312500000000002,5.803803059810228,4970.544379249873,0,0,315,4.0,4,100.0,0.7441264239899351
51,0,0,0,0,0,0,0,315,4,4,100.0,0.7396743671328097
52,0,0,0,0,0,0,0,315,4,4,100.0,0.7352489466235145
53,0,0,0,0,0,0,0,315,4,4,100.0,0.7308500030986251
54,0,0,0,0,0,0,0,320,4,4,100.0,15.0,12.714285714285714,8.571428571428573,1.0,17.0,26.71428571428572,13.285714285714286,1.0,0.7264773781481779
